Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,0.9800,0.9899,1.0000,0.9800
Esquadrias,0.7800,0.8069,0.8357,0.7800
Piso,0.7600,0.7362,0.8320,0.7600
Forro,0.8400,0.8745,0.9304,0.8400
Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
Instalação Sanitária,0.7200,0.8372,1.0000,0.7200
Revestimento Interno,0.3000,0.3926,0.7641,0.3000
Acabamento Interno,0.7800,0.8029,0.8286,0.7800
Revestimento Externo,0.2600,0.3680,0.7374,0.2600
Acabamento Externo,0.6000,0.7214,0.9187,0.6000
Cobertura,0.9000,0.9474,1.0000,0.9000
MÉDIA GERAL (Categorias),0.7200,0.7706,0.8952,0.7200
