Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,0.8600,0.9247,1.0000,0.8600
Esquadrias,0.7400,0.7744,0.8122,0.7400
Piso,0.0800,0.0631,0.4557,0.0800
Forro,0.0000,0.0000,0.0000,0.0000
Instalação Elétrica,0.8400,0.9130,1.0000,0.8400
Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
Revestimento Interno,0.0600,0.1070,0.4920,0.0600
Acabamento Interno,0.0200,0.0383,0.4500,0.0200
Revestimento Externo,0.0000,0.0000,0.0000,0.0000
Acabamento Externo,0.0000,0.0000,0.0000,0.0000
Cobertura,0.6400,0.7805,1.0000,0.6400
MÉDIA GERAL (Categorias),0.2945,0.3274,0.4736,0.2945
