Modelo,Temperatura,Categoria,Accuracy,F1-Score,Precision,Recall
qwen2.5_32b,0.0,Acabamento Interno,0.8800,0.8426,0.8082,0.8800
qwen2.5_32b,0.0,Revestimento Externo,0.8200,0.7569,0.7029,0.8200
qwen2.5_32b,0.0,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
qwen2.5_32b,0.0,Cobertura,0.9800,0.9899,1.0000,0.9800
qwen2.5_32b,0.5,Estrutura,0.8000,0.8889,1.0000,0.8000
qwen2.5_32b,0.5,Esquadrias,0.7400,0.7655,0.7929,0.7400
qwen2.5_32b,0.5,Piso,0.3600,0.2475,0.1886,0.3600
qwen2.5_32b,0.5,Forro,0.7400,0.7995,0.8695,0.7400
qwen2.5_32b,0.5,Instalação Elétrica,0.2800,0.4375,1.0000,0.2800
qwen2.5_32b,0.5,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
qwen2.5_32b,0.5,Revestimento Interno,0.0200,0.0390,0.8200,0.0200
qwen2.5_32b,0.5,Acabamento Interno,0.7000,0.7590,0.8289,0.7000
qwen2.5_32b,0.5,Revestimento Externo,0.6800,0.6966,0.7140,0.6800
qwen2.5_32b,0.5,Acabamento Externo,0.0600,0.1128,0.9400,0.0600
qwen2.5_32b,0.5,Cobertura,0.8000,0.8889,1.0000,0.8000
qwen2.5_32b,1.0,Estrutura,0.6000,0.7500,1.0000,0.6000
qwen2.5_32b,1.0,Esquadrias,0.6600,0.7425,0.8486,0.6600
qwen2.5_32b,1.0,Piso,0.3000,0.2316,0.1886,0.3000
qwen2.5_32b,1.0,Forro,0.5400,0.6592,0.8460,0.5400
qwen2.5_32b,1.0,Instalação Elétrica,0.2400,0.3871,1.0000,0.2400
qwen2.5_32b,1.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
qwen2.5_32b,1.0,Revestimento Interno,0.0600,0.1118,0.8200,0.0600
qwen2.5_32b,1.0,Acabamento Interno,0.4000,0.5373,0.8182,0.4000
qwen2.5_32b,1.0,Revestimento Externo,0.5000,0.5833,0.7000,0.5000
qwen2.5_32b,1.0,Acabamento Externo,0.1200,0.2089,0.8057,0.1200
qwen2.5_32b,1.0,Cobertura,0.6000,0.7500,1.0000,0.6000
qwen2.5_7b,0.0,Estrutura,1.0000,1.0000,1.0000,1.0000
qwen2.5_7b,0.0,Esquadrias,0.9000,0.8526,0.8100,0.9000
qwen2.5_7b,0.0,Piso,0.4400,0.2689,0.1936,0.4400
qwen2.5_7b,0.0,Forro,0.8000,0.8356,0.8744,0.8000
qwen2.5_7b,0.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
qwen2.5_7b,0.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
qwen2.5_7b,0.0,Revestimento Interno,0.0000,0.0000,0.0000,0.0000
qwen2.5_7b,0.0,Acabamento Interno,0.9000,0.8526,0.8100,0.9000
qwen2.5_7b,0.0,Revestimento Externo,0.1200,0.0257,0.0144,0.1200
qwen2.5_7b,0.0,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
qwen2.5_7b,0.0,Cobertura,0.9400,0.9691,1.0000,0.9400
qwen2.5_7b,0.5,Estrutura,0.9800,0.9899,1.0000,0.9800
qwen2.5_7b,0.5,Esquadrias,0.8800,0.8426,0.8082,0.8800
qwen2.5_7b,0.5,Piso,0.4200,0.2678,0.1966,0.4200
qwen2.5_7b,0.5,Forro,0.3800,0.5331,0.8930,0.3800
qwen2.5_7b,0.5,Instalação Elétrica,0.9000,0.9474,1.0000,0.9000
qwen2.5_7b,0.5,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
qwen2.5_7b,0.5,Revestimento Interno,0.0600,0.0996,0.8480,0.0600
qwen2.5_7b,0.5,Acabamento Interno,0.6000,0.6923,0.8182,0.6000
qwen2.5_7b,0.5,Revestimento Externo,0.1600,0.2203,0.7289,0.1600
qwen2.5_7b,0.5,Acabamento Externo,0.1800,0.3021,0.9400,0.1800
qwen2.5_7b,0.5,Cobertura,0.4600,0.6301,1.0000,0.4600
qwen2.5_7b,1.0,Estrutura,0.9800,0.9899,1.0000,0.9800
qwen2.5_7b,1.0,Esquadrias,0.9000,0.8617,0.8265,0.9000
qwen2.5_7b,1.0,Piso,0.3000,0.2062,0.1571,0.3000
qwen2.5_7b,1.0,Forro,0.4200,0.5640,0.8583,0.4200
qwen2.5_7b,1.0,Instalação Elétrica,0.7800,0.8764,1.0000,0.7800
qwen2.5_7b,1.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
qwen2.5_7b,1.0,Revestimento Interno,0.1000,0.1531,0.4826,0.1000
qwen2.5_7b,1.0,Acabamento Interno,0.4600,0.5914,0.8280,0.4600
qwen2.5_7b,1.0,Revestimento Externo,0.1400,0.1773,0.6960,0.1400
qwen2.5_7b,1.0,Acabamento Externo,0.1800,0.3021,0.9400,0.1800
qwen2.5_7b,1.0,Cobertura,0.4800,0.6486,1.0000,0.4800
