Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,0.9400,0.9691,1.0000,0.9400
Esquadrias,0.7800,0.7888,0.7977,0.7800
Piso,0.8200,0.8207,0.8272,0.8200
Forro,0.6600,0.7690,0.9550,0.6600
Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
Revestimento Interno,0.8000,0.8044,0.8184,0.8000
Acabamento Interno,0.7400,0.7655,0.7929,0.7400
Revestimento Externo,0.2600,0.3199,0.7738,0.2600
Acabamento Externo,0.3400,0.4917,0.8878,0.3400
Cobertura,0.9400,0.9691,1.0000,0.9400
MÉDIA GERAL (Categorias),0.6618,0.6998,0.8048,0.6618
