Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,0.9600,0.9796,1.0000,0.9600
Esquadrias,0.7800,0.7888,0.7977,0.7800
Piso,0.7400,0.7263,0.8277,0.7400
Forro,0.9000,0.8905,0.8812,0.9000
Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
Instalação Sanitária,0.5200,0.6842,1.0000,0.5200
Revestimento Interno,0.2800,0.3880,0.7151,0.2800
Acabamento Interno,0.8800,0.8800,0.8800,0.8800
Revestimento Externo,0.2200,0.2902,0.7638,0.2200
Acabamento Externo,0.7200,0.7962,0.8905,0.7200
Cobertura,0.9400,0.9691,1.0000,0.9400
MÉDIA GERAL (Categorias),0.7218,0.7630,0.8869,0.7218
