Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,0.9200,0.9583,1.0000,0.9200
Esquadrias,0.7800,0.7888,0.7977,0.7800
Piso,0.8200,0.8207,0.8272,0.8200
Forro,0.6400,0.7471,0.9268,0.6400
Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
Instalação Sanitária,0.0200,0.0392,1.0000,0.0200
Revestimento Interno,0.7400,0.7189,0.6998,0.7400
Acabamento Interno,0.7000,0.7412,0.7875,0.7000
Revestimento Externo,0.1800,0.2269,0.7329,0.1800
Acabamento Externo,0.2600,0.3942,0.8147,0.2600
Cobertura,0.9400,0.9691,1.0000,0.9400
MÉDIA GERAL (Categorias),0.6364,0.6731,0.8715,0.6364
