Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,0.9800,0.9899,1.0000,0.9800
Esquadrias,0.8800,0.8516,0.8250,0.8800
Piso,0.7600,0.7362,0.8320,0.7600
Forro,0.8200,0.8470,0.8759,0.8200
Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
Instalação Sanitária,0.7800,0.8764,1.0000,0.7800
Revestimento Interno,0.3200,0.4128,0.6488,0.3200
Acabamento Interno,0.7600,0.7773,0.7953,0.7600
Revestimento Externo,0.2200,0.3153,0.7113,0.2200
Acabamento Externo,0.6000,0.7139,0.8812,0.6000
Cobertura,0.9600,0.9796,1.0000,0.9600
MÉDIA GERAL (Categorias),0.7345,0.7727,0.8700,0.7345
