Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,1.0000,1.0000,1.0000,1.0000
Esquadrias,0.8800,0.8426,0.8082,0.8800
Piso,0.1000,0.1189,0.1467,0.1000
Forro,0.9400,0.9109,0.8836,0.9400
Instalação Elétrica,0.9600,0.9796,1.0000,0.9600
Instalação Sanitária,0.3400,0.5075,1.0000,0.3400
Revestimento Interno,0.1400,0.2343,0.7175,0.1400
Acabamento Interno,0.9000,0.8526,0.8100,0.9000
Revestimento Externo,0.1000,0.0235,0.0133,0.1000
Acabamento Externo,0.3400,0.4842,0.8411,0.3400
Cobertura,1.0000,1.0000,1.0000,1.0000
MÉDIA GERAL (Categorias),0.6091,0.6322,0.7473,0.6091
